\(t\),\({x=0.0}\),\({x=0.2}\),\({x=0.4}\),\({x=0.6}\),\({x=0.8}\),\({x=1.0}\)
0.0,nan,nan,nan,nan,nan,nan
0.1,2.112108,2.048309,1.90303,1.592593,2.057692,nan
0.2,1.872881,1.869369,1.853261,1.826772,1.903226,nan
0.3,1.858586,1.850267,1.863636,1.869159,1.773585,nan
0.4,1.864865,1.857143,1.853448,1.851852,1.899244,nan
0.5,1.865385,1.867347,1.841463,1.842105,1.853047,nan
0.6,1.871429,1.878788,1.854545,1.868421,1.867021,nan
0.7,1.869565,1.840909,1.861111,1.88,1.879032,nan
0.8,1.833333,1.857143,1.869565,1.875,1.860759,nan
0.9,1.842105,1.833333,1.8,1.9,1.92,nan
1.0,1.833333,1.818182,1.888889,2.0,1.870968,nan
