\(\alpha\),\(\beta\),\(\varepsilon\),n,\(x_1(0)\),\(x_2(\beta)\),\(error\)
1.0,1.0,1.0e-07,14,0.60653068,1.00000000,2.099e-06
1.0,1.0,1.0e-09,32,0.60653066,1.00000000,5.348e-08
1.0,1.0,1.0e-11,78,0.60653066,1.00000000,1.392e-09
1.0,5.0,1.0e-07,46,0.00000075,1.00000004,7.929e-05
1.0,5.0,1.0e-09,117,0.00000075,1.00000000,1.918e-06
1.0,5.0,1.0e-11,293,0.00000075,1.00000000,5.086e-08
0.01,1.0,1.0e-07,45,0.00000175,1.00000000,6.354e-05
0.01,1.0,1.0e-09,111,0.00000175,1.00000000,1.511e-06
0.01,1.0,1.0e-11,280,0.00000175,1.00000000,4.124e-08
0.01,5.0,-,-,-,-
